First Name,Last Name,PPOS,TGID,Height,,Weight
Jeremiah,Smith,3,70,75,75,55
Ellis,Robinson,16,30,72,72,20
Jaylen,Mbakwe,16,3,72,72,15
Ryan,Williams,3,3,73,73,10
Cameron,Coleman,3,9,76,76,25
Justin,Williams,14,30,74,74,45
D.J.,Lagway,0,27,75,75,65
Julian,Sayin,0,70,74,74,30
L.J.,McCray,10,27,79,79,105
Dylan,Raiola,0,58,75,75,60
Kobe,Black,16,92,73,73,30
K.J.,Bolden,18,30,73,73,30
Dominick,McKinley,12,45,77,77,130
Terry,Bussey,3,93,71,71,25
Williams,Nwaneri,11,56,79,79,100
Micah,Hudson,3,94,73,73,35
Joshisa,Trader,3,49,73,73,20
Joseph,Jonah-Ajonye,12,30,76,76,95
Aaron,Scott,16,70,73,73,20
Justin,Scott,12,49,77,77,150
Armondo,Blount,10,49,76,76,90
Aydin,Breland,12,74,77,77,150
Bryce,West,16,70,72,72,25
Eddrick,Houston,10,70,75,75,100
C.J.,Carr,0,68,75,75,40
Mylan,Graham,3,70,73,73,10
Ify,Obidegwu,16,74,74,74,35
Ny,Carr,3,49,72,72,15
Aaron,Chiles,14,27,75,75,65
Zay,Mincey,18,3,75,75,20
Cam,Williams,3,68,74,74,25
Booker,Pickett,15,49,76,76,45
T.J.,Moore,3,21,75,75,30
Air,Noland,0,70,75,75,35
JacQawn,McRoy,5,74,81,81,205
Michael,VanBuren,0,55,72,72,30
Nathaniel,Frazier,1,30,71,71,45
Brian,Robinson,11,42,77,77,95
Caleb,Odom,4,3,77,77,55
Benedict,Umeh,10,87,77,77,100
Jordan,Thomas,12,30,78,78,125
Kyngstonn,Viliamu-Asa,13,68,74,74,65
Ethan,Grunkemeyer,0,76,74,74,30
Dre'lon,Miller,16,22,72,72,45
Adarius,Hayes,13,49,76,76,50
Jonathan,Paylor,16,63,70,70,15
Xavier,Jordan,3,102,74,74,10
Amir,Jackson,4,27,77,77,60
Kameron,Davis,1,28,70,70,45
Grant,Brix,5,58,78,78,115
Quinton,Martin,1,76,74,74,35
Guerby,Lambert,5,68,78,78,125
Kamarion,Franklin,10,73,78,78,110
Walter,Matthews,4,102,79,79,85
Daniel,Calhoun,5,30,79,79,195
Artavius,Jones,12,49,75,75,120
Jordan,Marshall,1,51,71,71,35
Gatlin,Bair,3,74,74,74,30
Jonathan,Daniels,5,28,77,77,120
Garrett,Stover,17,70,73,73,40
Jamari,Howard,16,28,74,74,20
Isaiah,Garcia,5,103,77,77,120
Kristopher,Jones,15,30,75,75,60
Christian,Bentancur,4,21,77,77,80
Dilin,Jones,1,114,72,72,30
Carter,Nelson,4,58,76,76,50
Blake,Ivy,9,93,77,77,125
Kamron,Mikell,17,22,73,73,20
Jaylen,Heyward,18,18,72,72,20
NiTareon,Tuggle,3,30,73,73,35
Donovan,Harbour,6,76,76,76,150
Dwight,Phillips,16,30,71,71,15
Jason,Zandamela,7,27,76,76,110
Ian,Moore,9,70,78,78,140
William,Echoles,12,73,75,75,135
Ryan,Pellum,3,74,72,72,20
Kamar,Mothudi,14,74,75,75,65
Jonathan,Echols,4,144,77,77,60
Isendre,Ahfua,6,93,77,77,170
Justin,Greene,10,30,77,77,100
Noah,Carter,11,3,75,75,65
Andrew,Sprague,5,51,80,80,135
William,Satterwhite,6,91,77,77,130
Kaleb,Beasley,16,91,72,72,20
Jadyn,Davis,0,51,73,73,40
Jordon,Johnson-Rubell,16,92,70,70,10
Danny,Okoye,11,71,77,77,80
Marcelles,Williams,16,102,72,72,20
Waltclaire,Flynn,7,18,74,74,140
Michael,Smith,4,84,77,77,85
Braylon,Staley,3,91,72,72,20
Dealyn,Evans,12,93,77,77,110
Joseph,Phillips,14,9,74,74,80
Mazeo,Bennett,3,84,72,72,10
Terhyon,Nichols,16,42,71,71,20
Zion,Ragins,3,71,69,69,0
Preston,Taumua,6,58,77,77,155
Keylen,Adams,3,108,74,74,30
Kylan,Fox,4,18,77,77,55
Nasir,Johnson,12,30,77,77,140
Isiah,Canion,3,31,75,75,35
Ricardo,Jones,18,21,75,75,40
Freddie,Dubose,3,92,73,73,10
Braylon,Burnside,18,55,72,72,35
Jalewis,Solomon,3,84,73,73,25
Jerrae,Hawkins,3,27,70,70,10
Micahi,Danzy,3,28,73,73,15
Joey,Olsen,4,102,77,77,50
Parker,Livingstone,3,92,75,75,25
Courtney,Crutchfield,3,56,73,73,25
Aeryn,Hampton,3,3,70,70,20
Kamron,Beavers,12,73,75,75,155
Ashton,Bethel-Roman,3,93,73,73,5
Elija,Lofton,4,49,75,75,80
Gekyle,Baker,3,89,75,75,20
Cheta,Ofili,10,94,76,76,55
Anthony,Maddox,0,73,74,74,15
Rustin,Young,6,52,76,76,110
Brandon,Jacob,17,47,74,74,15
Lawayne,McCoy,16,28,73,73,20
Chance,Robinson,3,49,74,74,40
Jalyn,Crawford,16,9,72,72,20
Marquis,Gallegos,17,102,73,73,15
Jaylen,Brown,11,56,78,78,90
Jaiden,Patterson,17,62,73,73,15
Demond,Williams,0,110,71,71,10
Brandon,Davis-Swain,10,22,75,75,90
Charleston,Collins,12,6,76,76,100
Elijah,Brown,0,87,74,74,30
Tawaski,Abrams,3,27,71,71,20
Ivan,Carreon,4,71,78,78,45
Nate,Kibble,6,92,75,75,155
Sterling,Dixon,10,3,75,75,50
De'Myrion,Johnson,12,45,75,75,120
Dakyus,Brinkley,15,39,76,76,65
Caleb,Holmes,6,77,76,76,130
Dejuan,Lane,3,76,75,75,40
Steve,Bolo,11,3,76,76,100
Rico,Scott,3,3,73,73,25
C.J.,Jackson,10,45,76,76,65
Samaj,Jones,0,20,73,73,55
Jayshawn,Ross,13,3,75,75,60
Noah,Dixon,17,21,73,73,25
Jaydan,Hardy,17,71,71,71,15
Kahnen,Daniels,1,27,72,72,30
Hauss,Hejny,0,89,71,71,20
Elias,Rudolph,10,49,76,76,60
Kevin,Heywood,5,114,79,79,130
Ashton,Funk,5,93,79,79,135
King,Joseph,11,88,76,76,85
Brauntae,Johnson,3,68,75,75,15
A'Mon,Lane-Ganus,16,9,71,71,25
Jason,Brown,1,5,70,70,40
Ellis,Davis,5,94,78,78,100
J.J.,Harrell,3,55,72,72,30
Elyjah,Thurmon,8,21,76,76,105
Corey,Smith,1,76,72,72,15
Hogan,Hansen,4,51,78,78,60
Daniel,Cruz,8,92,76,76,135
Dillon,Gresham,3,74,72,72,20
Blake,Frazier,5,51,77,77,100
Makai,Saina,8,102,76,76,125
Gabriel,Winowich,11,80,73,73,55
Emerson,Mandell,8,114,76,76,135
P.J.,Woodland,16,45,71,71,0
Caedmon,Crader,5,74,78,78,115
Jimmar,Boston,3,63,72,72,20
Boo,Carter,3,91,71,71,30
D.D.,Holmes,10,28,78,78,80
Kyle,Altuner,7,112,76,76,150
Emmett,Laws,12,108,74,74,95
Qua,Russiah,13,3,74,74,82
Sammy,Brown,14,21,74,74,75
DJ,Lagway,0,27,75,75,81
Milkin,Formby,9,3,79,79,160
TJ,Moore,3,21,75,75,30
KJ,Bolden,17,30,72,72,25
Ryan,Wingo,3,92,74,74,48
Julian,Sayn,0,70,73,73,43
Christopher,Vizzina,0,21,76,76,50
Luke,Reynolds,4,76,76,76,68
Zabien,Brown,16,3,72,72,20
Jordan,Ross,11,91,76,76,73
Jordan,Seaton,5,22,77,77,125
David,Stone,11,71,75,75,123
Mike,Matthews,3,91,73,73,0
Colin,Simmons,10,92,75,75,74
Jahlil,Hurley,16,3,74,74,10
Jaylen,Mbakwye,16,3,71,71,10
Bo,Hughley,9,30,79,79,120
Venzell,McCray,10,27,77,77,119
Chris,Cole,13,30,75,75,60
Jaydon,Chatman,9,92,76,76,134
Zavier,Mincey,16,3,75,75,20
Jaari,Johnson,4,44,77,77,105
Hunter,Osborne,11,3,76,76,115
Terrance,Green,12,74,77,77,155
Shamurad,Umarov,6,91,79,79,160
Roderick,Kearney,7,27,76,76,142
Dontae,Carter,17,106,73,73,25
Taylor,Tatum,1,71,70,70,45
Elijah,Rushing,11,74,78,78,91
Dylan,Stewart,11,84,77,77,85
TJ,Capers,15,44,74,74,60
Kobie,Black,16,92,74,74,44
Maron,Scott,16,70,72,72,25
Xavier,Filsaime,17,92,73,73,30
Olaus,Alinen,8,3,78,78,166
Demarcus,Riddick,15,9,74,74,58
Aaron,Flowers,18,74,72,72,42
Chris,Peal,16,30,73,73,30
Demello,Jones,16,30,73,73,20
Kelton,Smith,8,30,76,76,170
KJ,Sampson,12,28,75,75,140
Andrey,Depaepe,11,36,77,77,94
Trey'Dez,Green,4,45,79,79,66
Trajen,Greco,16,56,72,72,20
Jaden,Platt,4,93,77,77,85
Charles,Lester,16,28,73,73,31
Marquise,Lightfoot,11,49,77,77,70
Myles,Graham,14,27,73,73,62
Quintavius,Johnson,15,30,76,76,95
Amaris,Williams,10,9,74,74,93
Peyton,Woodyard,18,74,74,74,28
Dashawn,Mcbryde,17,45,75,75,42
Jaden,Reddell,4,30,76,76,75
Kylin,Jackson,18,45,75,75,36
Zaquan,Patterson,17,49,72,72,35
Kevin,Riley,1,3,71,71,35
Zack,Owens,9,22,78,78,215
Curley,Reed,16,110,73,73,38
Kedren,Young,1,68,72,72,69
Peyton,Lewis,1,91,73,73,40
Cooper,Cousins,7,76,78,78,159
Jon,Mitchell,16,76,71,71,22
Casey,Poe,6,3,76,76,130
Ondre,Evans,16,30,72,72,35
Jerrick,Gibson,1,92,70,70,51
Declan,Duley,20,35,73,73,55
Brandon,Baker,5,92,76,76,137
Luke,Kromenhoek,0,28,76,76,41
Charlie,Collins,10,6,77,77,92
Caden,Durham,1,45,69,69,35
Bryce,Young,10,68,79,79,86
Chimdy,Onoh,9,76,77,77,163
Ja'Michael,Rose,13,70,74,74,70
Ty,Lockwood,4,3,77,77,74
Dae'Han,McCullough,17,44,74,74,30
Neo,Avery,11,47,75,75,113
Ethan,Grunkemeye,0,76,74,74,42
Jackson,Livingston,4,16,77,77,85
Nathan,Roy,5,54,78,78,135
Hollywood,Shothers,1,63,71,71,22
Desean,Bishop,1,91,70,70,40
Ryan,Puglisi,0,30,75,75,50
Bicarri,Jones,18,21,74,74,30
Reggie,Powers,18,71,71,71,44
KJ,Kirkland,18,28,73,73,46
Trey,Holly,1,45,67,67,32
Edric,Hill,12,3,75,75,134
Shamar,Easter,4,6,77,77,67
Bryant,Wesco,3,21,74,74,10
Jadan,Baugh,1,27,73,73,77
Kam,Davis,1,28,70,70,61
CJ,Carr,0,68,75,75,46
Marcellus,Williams,16,102,70,70,0
Perry,Thompson,3,9,75,75,45
Kingston,Lopa,17,74,77,77,30
Jake,Merklinger,0,91,75,75,45
Koi,Perich,17,54,73,73,39
Jaren,Hamilton,3,3,73,73,40
Jo'Ziah,Edmond,16,51,73,73,21
Malcolm,Ziglar,17,62,75,75,35
Corian,Gipson,16,21,73,73,20
Lugard,Edokpayi,11,51,78,78,70
Elvah,Groves,15,63,76,76,46
Josiah,Thompson,9,84,79,79,140
Cai,Bates,16,28,74,74,30
Landen,Thomas,4,28,76,76,75
Weston,Davis,5,45,78,78,122
James,Peoples,1,70,70,70,43
Koy,Beasley,17,78,71,71,10
Bo,Carter,17,91,71,71,25
Key'Juan,Brown,1,44,70,70,50
Tyree,Adams,9,45,79,79,145
Coen,Echols,6,45,75,75,150
Walker,White,0,9,75,75,60
Eugene,Brooks,8,71,75,75,174
Joe,Phillips,13,9,74,74,80
Dylan,Carpenter,13,45,76,76,95
Jeremiah,Beaman,10,3,76,76,105
Brock,Jackson,13,11,76,76,81
Kahlee,Tafai,6,110,0,70,167
Alex,Boston,0,51,0,74,40
Grant,Brlx,5,58,0,68,125
Milt,McDonald,10,114,0,70,106
Naquil,Bertrand,5,3,78,78,180
Moron,Williams,16,44,0,74,25
Phillip,Daniels,9,54,0,68,140
Bradley,Shaw,14,6,71,71,63
Nick,Marsh,3,52,0,70,48
Manasseh,Itete,6,28,0,73,125
Michael,Uini,9,30,0,74,165
Tyler,Cherry,0,36,0,72,55
Ian,Reed,5,21,78,78,165
Hakim,Tarver,14,3,74,74,72
Liam,Andrews,12,76,0,70,106
Selman,Bridges,16,6,74,74,14
Jahal,Herriather,9,30,0,70,107
Jericho,Johnson,12,74,0,73,204
Elijah,Newby,15,102,0,72,50
Faletau,Satuala,18,16,76,76,38
Caden,Jones,5,27,80,80,176
Fletcher,Westphal,9,27,80,80,165
Cam,Dooley,17,42,0,75,40
Daniel,Hill,1,3,73,73,71
Nigel,Smith,11,71,0,69,95
Bennett,Warren,5,91,0,68,164
Peyton,Waters,17,110,0,68,11
Teryon,Nichols,18,42,0,75,20
Jayr,Johnson,14,84,0,69,58
Jamonta,Waller,13,9,72,72,87
Tylen,Singleton,13,45,0,71,46
Kris,Jones,15,30,0,73,70
Derrick,Vincent-Do,11,3,77,77,99
Garrett,Sexton,5,76,0,69,135
Brayden,Platt,15,74,0,75,62
Keyon,Strickland,5,70,0,71,159
KD,Daniels,1,27,0,75,-160
William,Depaepe,10,36,0,72,65
Solomon,Williams,11,93,0,72,90
Gavin,Hoffman,4,37,0,72,60
Jeffery,Rush,10,73,0,69,130
Chance,Fitzgerald,3,108,0,68,31
Kenneth,Merriweath,11,37,0,69,67
Marcos,Davila,0,78,0,70,70
Rushaun,Tongue,18,109,0,71,21
Dee,Cannon,15,21,0,72,65
Nhamdi,Ogboko,12,30,0,72,184
Cruce,Brookins,18,77,0,74,35
Kam,Pringle,5,84,0,74,175
Brandon,Coles,1,76,0,74,39
Kelvin,Hunter,17,84,0,70,30
Gregory,Smith,18,27,0,68,49
Jeremiah,Anglin,16,77,0,71,25
Wardell,Mack,16,92,0,70,23
Micah,Mays,3,109,0,74,24
Elyjaa,Thurmon,8,21,0,71,130
Gabriel,Reliford,10,45,0,75,108
Joel,Rogers,17,45,0,75,35
Laron,Lynch,11,9,0,71,120
Donavan,Gore,16,68,0,68,23
Micah,Welch,1,22,0,75,45
Rocco,Franco,1,68,0,73,55
Myles,Davis,18,93,0,70,40
Red,Morgan,17,3,0,73,15
Elijah,Lofton,4,49,0,72,70
Monty,Crawford,12,49,0,74,152
Payton,Pierce,14,70,0,73,63
Demarcus,Compton,1,49,0,69,53
Terrell,Anderson,3,63,0,68,25
Vaboue,Toure,17,76,0,69,49
Keontez,Bradley,16,5,0,69,25
Jameer,Grimsley,16,27,0,75,27
Xadavien,Sims,10,74,0,68,115
Spencer,Porath,19,78,0,75,25
Ju'Juan,Johnson,16,45,0,73,34
Ty,Adams,16,62,0,75,20
Lance,Williams,6,108,0,70,150
Marques,Easley,8,30,0,72,175
Zina,Umeozulu,10,92,0,74,95
Cameron,Pruitt,14,49,0,72,40
Jahario,Yates,10,30,0,69,117
Jerod,Smith,13,42,0,75,85
Loghan,Thomas,11,68,0,70,45
Kamar,Hudson,14,74,0,71,68
Ernest,Willor,10,114,0,69,113
Wyatt,Gilmore,11,71,0,75,93
Ty,Dieffenbac,0,77,0,75,60
AJ,Maddox,0,73,0,71,15
Jamarious,Brown,12,73,0,74,125
Deanthony,Ducksworth,5,52,0,70,146
CJ,Bailey,0,63,0,69,30
Debroah,Gatling,3,84,0,74,34
Soane,Faasolo,5,110,0,70,130
Trench,Kekahuna,3,114,0,72,23
My'Keil,Gardner,12,74,0,71,130
Aaron,Fenimore,7,161,0,68,110
Desman,Stephens,18,102,0,68,73
Jonah,Wilson,3,33,0,73,40
Zachariah,Keith,10,112,0,74,105
Ryker,Shannon,4,16,0,74,85
Craig,Dennison,8,52,0,75,139
Brandon,Hood,1,22,0,75,25
Jordan,Shipp,3,62,0,74,30
Jeremiah,McClellan,3,74,0,69,30
Kendall,Jackson,11,93,0,70,100
Rob,Billings,18,21,0,73,40
Nitro,Tuggle,3,30,0,75,30
Davon,Mitchell,4,71,0,72,95
Kylan,Billiot,3,45,0,68,26
CJ,Johnson,18,9,0,75,40
Roger,Gradney,18,58,0,75,45
Xzavier,Joshua,1,87,0,70,43
Kaedyn,Massey,9,40,0,72,120
Jelani,Watkins,3,45,0,69,1
Neo,Flowers,3,70,0,70,17
Nick,Morrow,5,17,0,68,145
Kam,Mikell,3,22,0,74,21
Dylan,Williams,15,74,0,73,50
Dylan,Senda,8,9,0,74,160
Dre,Hooks,18,30,0,73,32
Justyn,Rhett,17,30,0,68,30
Sidney,Arrington,1,30,0,70,35
Jaylen,McClain,17,70,0,74,32
Luke,Williams,18,78,0,75,14
Amos,Talalele,8,102,0,70,177
Moussa,Kane,16,24,0,73,26
Gabe,Moore,12,55,0,74,130
Blake,Craig,19,56,0,69,27
Heath,Ozaeta,6,71,0,75,152
Drake,Carlson,12,78,0,75,130
KJ,Jackson,0,6,0,71,63
Nyier,Daniels,5,30,0,69,205
Brady,Prieskorn,4,51,0,75,85
Nicholas,Deloach,16,56,0,73,15
Wendell,Gregory,11,84,0,74,74
Kameryn,Fountain,13,102,0,69,96
Kendrick,Gilbert,12,42,0,69,132
Jerious,Martin,16,92,0,73,24
Jaydee,Curry,16,93,0,69,17
Max,Anderson,6,91,0,75,150
Edwin,Spillman,14,91,0,68,55
Aaron,Burrell,19,45,0,72,21
Logan,Howland,5,71,0,74,146
Towns,Mcgough,19,9,0,68,26
Andre,Cojoe,5,92,0,70,190
Solomone,Malafu,14,99,0,68,70
Jadon,Scarlett,10,93,0,69,125
Amaree,Williams,11,28,0,74,55
Devon,Baxter,11,51,0,72,65
Cameron,Dickey,1,94,0,69,-160
Ben,Harrison,8,5,0,74,148
Tyler,Scott,16,9,0,69,44
Jordan,Pride,18,93,0,68,25
Braylon,Singleton,0,13,0,71,66
Kris,Iokomah,17,11,0,69,33
Wes,Tucker,6,11,0,72,144
Jordan,Washington,4,92,0,70,80
Elishah,Jackett,5,110,0,73,99
Zion,Kearney,3,71,0,74,47
George,Steih,8,109,0,73,113
Carson,Dean,14,6,0,69,78
Joe,Wilkinson,17,21,0,75,20
Jon,Sheets,12,68,0,74,118
Vandreius,Jacobs,3,84,0,69,16
Jacory,Barney,3,58,0,72,10
Simon,Silva,6,67,0,72,137
Malachi,Matthews,4,102,0,68,85
Joseph,Ionata,6,3,0,73,134
Max,LeBlanc,4,70,0,69,62
Gavin,Hunter,17,4,0,73,40
Clay,Wedin,5,9,0,73,116
Chris,Wheatley-H,1,49,0,75,20
Styles,Prescod,5,68,0,75,123
Dakoda,Fields,16,74,0,68,0
Tracey,Milton,12,84,0,73,135
Jahleel,Parker,13,87,0,75,60
Adam,Kissay,10,54,0,69,75
Micah,Gilbert,3,68,0,69,44
Mill,Carrington,5,87,0,70,168
Ian,Geffrard,12,6,0,75,220
Roney,Lora,12,62,0,74,135
RJ,Jones,17,99,0,72,40
Jordan,Washington,1,110,0,72,26
JC,Hart,16,9,0,72,43
Ethan,Boyle,9,37,0,69,159
Paul,Mubenga,5,45,0,69,155
Dalvin,Armstrong,15,58,0,72,80
Benedict,Uhen,12,87,0,73,110
Cody,Smith,8,93,0,72,162
Miles,O'Neill,0,93,0,69,60
Jermaine,Andrews,16,49,0,72,15
Caleb,Bryant,11,55,0,75,105
Ethan,Fields,8,73,0,75,170
Travaris,Banks,16,73,0,70,35
Hunter,Locklear,12,102,0,68,120
Trent,Thomas,10,11,0,75,92
TJ,Winkler,12,21,0,74,153
Chris,Flowers,17,24,0,68,39
Jayden,Todd,9,28,0,72,190
Demario,Massey,16,49,0,74,35
Luke,Hamilton,5,51,0,71,130
Andrew,Rosinski,9,62,0,70,120
Jacoby,Lorent,16,68,0,68,21
James,NestA,13,71,0,68,52
Jarrick,Rollins-Be,16,92,0,71,36
AJ,Fuimaono,12,99,0,74,150
Jason,Abbey,11,108,0,68,71
Mason,Kelley,16,21,0,68,20
Colin,Hurley,0,45,0,71,52
Jonathan,Akins,16,47,0,72,17
Glenn,Connors,5,51,0,70,137
Aneyas,Williams,1,68,0,70,43
Jayden,Jackson,12,71,0,69,135
Paki,Finau,6,110,0,70,125
Reggie,Wiggins,12,36,0,69,143
Marcellus,Barnes,16,88,0,70,5
Mark,Schroller,5,99,0,72,135
A'mon,Vane-Ganus,16,9,0,75,21
Raymond,Warner,16,21,0,69,33
Jacob,Oden,17,51,0,69,46
Jay,Crawford,16,9,0,74,12
Cameron,Kek,16,56,0,71,6
Miles,Lockhart,16,70,0,70,33
Quincey,Bell,16,74,0,69,26
Jordon,Johnson-Ru,16,92,0,73,33
Tye,Jennings,16,102,0,72,21
Julien,Randolph,4,62,0,68,85
Leighton,Jones,6,37,0,74,130
Robert,Lucas,11,70,0,71,104
Amari,Everett,12,76,0,74,139
William,Sanders,6,3,0,71,130
Mason,Curtis,14,51,0,75,40
Deandre,Carter,6,9,0,74,196
Derek,Boyd,1,32,0,74,-160
Makari,Bodiford,1,48,0,69,-160
Da'Marion,Alberic,1,181,0,69,-160
Isaiah,Caenion,3,31,0,74,35
Shymeik,Jones,12,31,0,70,123
Noah,Lugo,0,16,0,71,35
Beni,Ngoy,3,38,0,68,35
Tommy,Ziesmer,11,42,0,69,97
Jeremiah,Melvin,3,109,0,73,29
Brock,Knuston,9,58,0,71,145
Jesse,Anderson,17,77,0,75,25
Kahlil,Ali,17,13,0,69,28
Leon,Griffin,17,24,0,74,21
Devin,Vass,9,40,0,74,123
Quentin,Reddish,17,108,0,70,30
Thomas,Heiberger,13,114,0,68,58
Carl,Valentine,17,56,0,70,64
Dillon,Hipp,4,73,0,68,80
Jaden,Smith,18,42,0,71,41
Christian,Bodnar,17,161,0,74,15
Jason,Pippen,14,58,0,72,75
Tyon,Wray,17,72,0,73,50
Daniel,Demery,17,73,0,70,35
Ephraim,Asiata,15,16,0,71,50
Dylan,Lee,1,38,0,69,40
Tre,Spiivey,3,40,0,71,49
Cutter,Boley,0,42,0,74,45
Jefferson,Wimbley,9,76,0,75,149
Christian,Ford,18,6,0,73,19
Maurice,Williams,17,33,0,71,40
Kennedy,Urlacher,17,68,0,68,35
Peter,Jones,6,68,0,75,135
Travon,West,16,109,0,70,11
Landon,Rekow,20,16,0,74,30
Patrick,Screws,5,31,0,70,159
Cole,McConathy,11,49,0,72,65
DaiShon,Bootle,16,58,0,70,10
Davhon,Kek,14,45,0,68,66
